sentence,tags
The cat sat on the mat,DT NN VBD IN DT NN
She is reading a book,PRP VBZ VBG DT NN
He runs fast,PRP VBZ RB
The dog barked loudly,DT NN VBD RB
They are building a house,PRP VBP VBG DT NN
John loves Mary,NNP VBZ NNP
The sun rises in the east,DT NN VBZ IN DT NN
I ate an apple,PRP VBD DT NN
Birds fly high,NNS VBP RB
This is a beautiful day,DT VBZ DT JJ NN
Can you help me,MD PRP VB PRP
He will go to school tomorrow,PRP MD VB TO NN RB
The boy kicked the ball,DT NN VBD DT NN
She sings well,PRP VBZ RB
We are watching a movie,PRP VBP VBG DT NN
It is raining heavily,PRP VBZ VBG RB
They have completed their work,PRP VBP VBN PRP$ NN
The teacher gave us homework,DT NN VBD PRP NN
He plays football every Sunday,PRP VBZ NN DT NNP
A bird is flying in the sky,DT NN VBZ VBG IN DT NN
